10:07 19/12/2017,77,0
09:56 19/12/2017,53,0
09:01 19/12/2017,49,1
08:56 19/12/2017,50,2
08:50 19/12/2017,53,2
08:45 19/12/2017,52,2
08:39 19/12/2017,52,2
08:34 19/12/2017,55,2
08:28 19/12/2017,58,2
08:23 19/12/2017,56,1
08:17 19/12/2017,56,1
08:11 19/12/2017,55,2
08:05 19/12/2017,73,2
07:46 19/12/2017,53,2
07:40 19/12/2017,52,2
07:35 19/12/2017,53,2
07:29 19/12/2017,50,2
07:22 19/12/2017,49,2
07:17 19/12/2017,49,2
07:11 19/12/2017,51,2
07:05 19/12/2017,50,2
07:00 19/12/2017,65,2
06:54 19/12/2017,61,2
06:48 19/12/2017,66,2
06:42 19/12/2017,57,2
06:37 19/12/2017,57,1
06:31 19/12/2017,52,1
06:25 19/12/2017,77,1
06:19 19/12/2017,55,0
06:14 19/12/2017,52,0
06:08 19/12/2017,50,1
06:03 19/12/2017,51,1
05:57 19/12/2017,53,1
05:51 19/12/2017,56,2
05:46 19/12/2017,51,2
05:40 19/12/2017,50,2
05:34 19/12/2017,51,2
05:29 19/12/2017,52,2
05:23 19/12/2017,52,2
05:18 19/12/2017,55,1
05:12 19/12/2017,57,1
05:06 19/12/2017,61,0
05:00 19/12/2017,57,0
04:55 19/12/2017,63,0
04:49 19/12/2017,54,1
04:43 19/12/2017,55,1
04:37 19/12/2017,51,1
04:31 19/12/2017,52,2
04:25 19/12/2017,54,2
04:19 19/12/2017,52,2
04:11 19/12/2017,50,2
04:05 19/12/2017,56,2
03:59 19/12/2017,52,2
03:54 19/12/2017,56,2
03:48 19/12/2017,49,2
03:42 19/12/2017,53,2
03:36 19/12/2017,55,1
03:31 19/12/2017,71,1
02:50 19/12/2017,51,2
02:44 19/12/2017,52,2
02:37 19/12/2017,49,1
02:32 19/12/2017,49,1
02:26 19/12/2017,56,0
02:21 19/12/2017,56,0
02:15 19/12/2017,63,0
